i,inital_effi,max_effi,max_case_index,diff,FLOW_COEFFICIENT,LOADING_COEFFICIENT,REACTION_DEGREE,EXPANTION_RATIO,W2_Re,AR_STATOR,AR_ROTOR,Zw,stator_bow,stator_tip_bow,stator_lean,stator_tip_lean,h_percent,rotor_lean,cluster
92,0.8835,0.8846,8,0.0011,0.9,1.9,0.4,1.3,20000,2,2.5,1.1,-6.03,6.21,-13.45,10.34,0.27,12.76,0
93,0.8814,0.882,18,0.0006,1,1.9,0.4,1.3,20000,2,2.5,1.1,-8.62,0,-10.34,9.83,0.16,10.17,0
94,0.8817,0.8869,8,0.0052,0.6,1.8,0.45,1.3,20000,2,2.5,1.1,-6.03,6.21,-13.45,10.34,0.27,12.76,0
95,0.8604,0.8622,28,0.0018,0.8,2.6,0.45,1.3,20000,2,2.5,0.9,-11.21,1.66,-9.31,5.69,0.29,19.48,1
96,0.8627,0.8651,23,0.0024,0.7,2.4,0.45,1.3,20000,2,2.5,0.9,-7.07,3.31,-1.55,12.41,0.24,15.34,1
97,0.877,0.8793,28,0.0023,0.9,2.4,0.4,1.3,20000,2,2.5,0.9,-11.21,1.66,-9.31,5.69,0.29,19.48,1
98,0.8811,0.8829,8,0.0018,0.8,2.3,0.4,1.3,20000,2,2.5,0.9,-6.03,6.21,-13.45,10.34,0.27,12.76,0
99,0.8815,0.8823,23,0.0008,1,2.3,0.4,1.3,20000,2,2.5,0.9,-7.07,3.31,-1.55,12.41,0.24,15.34,1
100,0.8684,0.8741,28,0.0057,0.6,2.1,0.5,1.3,20000,2,2.5,0.9,-11.21,1.66,-9.31,5.69,0.29,19.48,1
101,0.8937,0.8948,23,0.0011,0.8,1.9,0.4,1.3,20000,2,2.5,0.9,-7.07,3.31,-1.55,12.41,0.24,15.34,1
102,0.8924,0.8929,18,0.0005,0.9,1.9,0.4,1.3,20000,2,2.5,0.9,-8.62,0,-10.34,9.83,0.16,10.17,0
103,0.888,0.8884,18,0.0004,1,1.9,0.4,1.3,20000,2,2.5,0.9,-8.62,0,-10.34,9.83,0.16,10.17,0
104,0.8924,0.8945,8,0.0021,0.6,1.8,0.45,1.3,20000,2,2.5,0.9,-6.03,6.21,-13.45,10.34,0.27,12.76,0
105,0.8603,0.8656,8,0.0053,0.8,2.6,0.45,1.3,50000,2,2.5,1.1,-6.03,6.21,-13.45,10.34,0.27,12.76,0
106,0.8879,0.8898,8,0.0019,0.9,2.4,0.4,1.3,50000,2,2.5,1.1,-6.03,6.21,-13.45,10.34,0.27,12.76,0
107,0.8866,0.8903,8,0.0037,0.8,2.3,0.4,1.3,50000,2,2.5,1.1,-6.03,6.21,-13.45,10.34,0.27,12.76,0
108,0.8829,0.8854,4,0.0025,1,2.3,0.4,1.3,50000,2,2.5,1.1,-10.69,2.07,-12.93,1.55,0.25,6.55,2
109,0.8512,0.8627,27,0.0115,0.6,2.1,0.5,1.3,50000,2,2.5,1.1,-13.79,9.52,-11.9,0.52,0.26,14.31,2
110,0.8967,0.8992,8,0.0025,0.8,1.9,0.4,1.3,50000,2,2.5,1.1,-6.03,6.21,-13.45,10.34,0.27,12.76,0
111,0.8915,0.8928,4,0.0013,0.9,1.9,0.4,1.3,50000,2,2.5,1.1,-10.69,2.07,-12.93,1.55,0.25,6.55,2
112,0.895,0.8958,4,0.0008,1,1.9,0.4,1.3,50000,2,2.5,1.1,-10.69,2.07,-12.93,1.55,0.25,6.55,2
113,0.8924,0.8982,8,0.0058,0.6,1.8,0.45,1.3,50000,2,2.5,1.1,-6.03,6.21,-13.45,10.34,0.27,12.76,0
114,0.875,0.8773,23,0.0023,0.8,2.6,0.45,1.3,50000,2,2.5,0.9,-7.07,3.31,-1.55,12.41,0.24,15.34,1
115,0.879,0.882,1,0.003,0.7,2.4,0.45,1.3,50000,2,2.5,0.9,-10.17,3.72,-3.1,7.76,0.1,17.93,1
118,0.8918,0.8922,23,0.0004,1,2.3,0.4,1.3,50000,2,2.5,0.9,-7.07,3.31,-1.55,12.41,0.24,15.34,1
119,0.8851,0.8891,28,0.004,0.6,2.1,0.5,1.3,50000,2,2.5,0.9,-11.21,1.66,-9.31,5.69,0.29,19.48,1
120,0.9039,0.9053,8,0.0014,0.8,1.9,0.4,1.3,50000,2,2.5,0.9,-6.03,6.21,-13.45,10.34,0.27,12.76,0
121,0.903,0.9038,18,0.0008,0.9,1.9,0.4,1.3,50000,2,2.5,0.9,-8.62,0,-10.34,9.83,0.16,10.17,0
122,0.9004,0.9007,18,0.0003,1,1.9,0.4,1.3,50000,2,2.5,0.9,-8.62,0,-10.34,9.83,0.16,10.17,0
123,0.9041,0.9065,8,0.0024,0.6,1.8,0.45,1.3,50000,2,2.5,0.9,-6.03,6.21,-13.45,10.34,0.27,12.76,0
124,0.8723,0.8931,27,0.0208,0.8,1.6,0.4,1.3,100000,3,4,1.3,-13.79,9.52,-11.9,0.52,0.26,14.31,2
125,0.8778,0.9016,27,0.0238,1.1,1.6,0.4,1.3,100000,3,4,1.3,-13.79,9.52,-11.9,0.52,0.26,14.31,2
126,0.9243,0.9266,28,0.0023,0.6,1.5,0.4,1.3,100000,3,4,1.1,-11.21,1.66,-9.31,5.69,0.29,19.48,1
127,0.863,0.8707,22,0.0077,0.6,1.3,0.45,1.3,100000,3,4,1.3,-12.24,4.55,-10.86,15,0.18,18.97,1
128,0.8534,0.8644,22,0.011,0.7,1.3,0.4,1.3,100000,3,4,1.3,-12.24,4.55,-10.86,15,0.18,18.97,1
129,0.8261,0.8352,8,0.0091,1.2,1.3,0.45,1.3,100000,3,4,1.3,-6.03,6.21,-13.45,10.34,0.27,12.76,0
130,0.771,0.7808,8,0.0098,1.1,1.2,0.5,1.3,100000,3,4,1.3,-6.03,6.21,-13.45,10.34,0.27,12.76,0
131,0.7182,0.7277,28,0.0095,1,1.1,0.53,1.3,100000,3,4,1.3,-11.21,1.66,-9.31,5.69,0.29,19.48,1
132,0.9274,0.9285,1,0.0011,0.9,1.4,0.35,1.25,100000,5,6,0.9,-10.17,3.72,-3.1,7.76,0.1,17.93,1
133,0.8933,0.8951,13,0.0018,0.7,1.5,0.33,1.25,20000,1.6,2,0.9,-13.28,4.14,-7.24,14.48,0.27,6.03,0
